X,Y,insee,nom,wikipedia,surf_ha,icon_url,Effectifs avec Micro_Zone emploi,Effectifs avec Micro_Agroalimentaire,"Effectifs avec Micro_Bijouterie, joaillerie",Effectifs avec Micro_Bois,Effectifs avec Micro_Chimie,"Effectifs avec Micro_Conseil, ingénierie, recherche",Effectifs avec Micro_Construction/BTP/Génie urbain/Architecture,Effectifs avec Micro_Eau et déchets,Effectifs avec Micro_Electrique/Electronique (dont optique),Effectifs avec Micro_Emballage,Effectifs avec Micro_Energie,"Effectifs avec Micro_Management, conseil, finances",Effectifs avec Micro_Mécanique-Métallurgie,Effectifs avec Micro_Meubles,"Effectifs avec Micro_Numérique, TIC, audiovisuel",Effectifs avec Micro_Papier-carton,Effectifs avec Micro_Plasturgie,"Effectifs avec Micro_Santé (dont pharmacie, technologies médicales, R&D en biotech)",Effectifs avec Micro_Sous-traitance industrielle,Effectifs avec Micro_Sous-traitance industrielle (coeur de l'activité),Effectifs avec Micro_Sport / Loisirs,Effectifs avec Micro_Textile-habillement-cuir chaussures,Effectifs avec Micro_Tourisme,Effectifs avec Micro_Transport de marchandises/Logistique,Effectifs avec Micro_(vide)
4.22689394749235,45.6073857136787,"42315",Unias,fr:Unias,541.000000000000000,./0.png,Saint Etienne,,,,,"0","8",,,,,,,,,,,,,,"0",,,"1","17"
4.26595242764396,45.6065899192576,"42081",Cuzieu,fr:Cuzieu (Loire),1162.000000000000000,./0.png,Saint Etienne,"2",,,,"0","27",,"0",,"0","0","2",,,,,,,,,,"5","10","11"
4.20730470489437,45.625191687797,"42020",Boisset-lès-Montrond,fr:Boisset-lès-Montrond,827.000000000000000,./0.png,Saint Etienne,"0",,,,"1","74",,,,"0","0","0",,,,,,,,"0",,"2","1","17"
4.19665137471963,45.5918325079019,"42108",L'Hôpital-le-Grand,fr:L'Hôpital-le-Grand,1295.000000000000000,./0.png,Saint Etienne,,,,,,"29",,,,"0",,,,,,,,,,"0",,"1","0","6"
4.31547773338233,45.6037028120351,"42222",Saint-Galmier,fr:Saint-Galmier,1963.000000000000000,./0.png,Saint Etienne,"299",,,,"24","155","0",,,"20","18","2",,"1",,,,"2",,"13","3","159","61","170"
4.14889908277469,45.5887646118079,"42180",Précieux,fr:Précieux (Loire),1650.000000000000000,./0.png,Saint Etienne,"1",,,,"0","2",,,,"0","1",,,,,,,,,,,"0","1","1"
4.07204134390637,45.6007445112552,"42147",Montbrison,fr:Montbrison (Loire),1629.000000000000000,./0.png,La Plaine du Forez,"247","6","0","332","26","584","62","17",,"79","193","112","31","13",,,"3","15","249","50","1","168","253","1449"
4.1002228465142,45.6223168487515,"42299",Savigneux,fr:Savigneux (Loire),1910.000000000000000,./0.png,La Plaine du Forez,"72","27","22","0","3","462","6","2","2","0","54","15","25","1",,,"2","8","2","29","0","44","107","290"
4.0506202136578,45.6415911435067,"42046",Champdieu,fr:Champdieu,1802.000000000000000,./0.png,La Plaine du Forez,"2",,,"0","32","156",,,,,"0","98","5","0",,,,"5",,,"0","2","12","20"
4.37405684256343,45.6290391073099,"42059",Chazelles-sur-Lyon,fr:Chazelles-sur-Lyon,2107.000000000000000,./0.png,Saint Etienne,"54","0",,,"2","188",,,,"0","38","365",,"3",,,,,,"1","17","30","75","212"
4.22153592787494,45.6639248529897,"42135",Marclopt,fr:Marclopt,862.000000000000000,./0.png,Saint Etienne,,,,,"1","36",,,,"0","0","159",,,,,,,,"0",,"2",,"6"
4.36279861772822,45.5924656976232,"42264",Saint-Médard-en-Forez,fr:Saint-Médard-en-Forez,1041.000000000000000,./0.png,Saint Etienne,"0",,,,"0","7",,,,"0",,"7",,"0",,,,"0",,,,"8","0","21"
4.38184006244285,45.6540085886322,"42335",Viricelles,fr:Viricelles,200.000000000000000,./0.png,Saint Etienne,,,,,"0","11",,,,,,,,"0",,,,,,"0",,,"0","1"
4.35425365601638,45.6605084945502,"42138",Maringes,fr:Maringes,915.000000000000000,./0.png,Saint Etienne,"4",,,,,"1",,,,,,,,,,,,,,,,"2","2","0"
4.2904051898979,45.6767126518126,"42214",Saint-Cyr-les-Vignes,fr:Saint-Cyr-les-Vignes,1948.000000000000000,./0.png,Saint Etienne,"5",,,,"0","3","0",,,"1","0",,,,,,,,,"0",,"5","5","1"
4.15483881166497,45.6149676954853,"42105",Grézieux-le-Fromental,fr:Grézieux-le-Fromental,1038.000000000000000,./0.png,Saint Etienne,,,,,,"1",,,,"0",,,,,,,,,,"0",,,,"0"
4.17173640531354,45.6411058806838,"42038",Chalain-le-Comtal,fr:Chalain-le-Comtal,1875.000000000000000,./0.png,Saint Etienne,"2",,,,"0","3",,,,,"0","0",,"0",,,,,,"0",,"1","4","2"
4.1709404534686,45.6697603646613,"42130",Magneux-Haute-Rive,fr:Magneux-Haute-Rive,1248.000000000000000,./0.png,Saint Etienne,,,,,"0","0",,,,,,,,,,,,,,,,"2","0","33"
4.11955466482593,45.6717907388749,"42151",Mornand-en-Forez,fr:Mornand-en-Forez,2150.000000000000000,./0.png,La Plaine du Forez,,,,,"6","10",,,,,"6",,,,,,,,,,,"0",,"0"
